New Mexico,113.18793415371,98.705698434774,0.82841411703755,6–1,6,7,50.1,46,35,32.8,13.8,19,32.8,23.8,74.5,50.6,43.7,32.5,33.3,11.6,8.5,52.4,51.2,26.6,36.3,73.075141534591,77.64351481184946,81.19999999999999,1.7289831865492395,2024,0,0,54.25552,,70.4,69.6,1.109,0.927,14.454085714286
Northwestern,112.17171375746,97.960403610508,0.82604840325976,5–1,5,6,51.6,53,26.6,30,14,24,31.7,30.7,63.1,53.6,49.4,32,38.5,14.1,11.8,54.8,57.5,35.7,43.3,64.252097454184,77.20501232539031,80.3395,2.391243502598962,2024,0,0,38.44032,,78,68.9,1.12,1.004,12.7573
Iowa,116.95051273569,102.18223378155,0.82526299494272,5–2,5,7,54.6,48.2,39,24.4,11.9,18.3,29.8,30.3,75.6,55.1,49.8,35.6,30.3,10.7,5.6,58.2,43.4,29.6,38.1,73.831352304439,78.24918831168831,81.057,1.7274909963985596,2024,0,0,52.35668000000001,,77,70.2,1.201,1.002,20.487328571429
Kansas St.,112.78182275634,99.128107957354,0.81517369024978,5–2,5,7,52,50,31.5,24.5,20,17.6,41.9,28.2,71.3,53.8,49.1,33,34.4,9.3,12.9,56.5,48.2,42.7,36.3,70.519590331369,76.69574077847972,80.875,1.7998799279567743,2024,0,0,52.255039999999994,,74.5,73.1,1.139,1.009,19.841671428571
Pittsburgh,111.73334060368,98.470794911054,0.81047262628594,5–2,5,7,52.3,43.2,42.1,30.5,14.2,15.8,38.7,19.9,71.6,54,46.5,33.5,25.5,15.7,10.6,57.4,53.1,47.1,39.4,70.299861417687,78.92637296318648,82.103,1.717400000000001,2024,0,0,38.36567999999999,,69,68.8,1.183,0.898,11.421657142857
St. John's,113.60981938141,100.59544160671,0.80204491621757,4–2,4,6,52.5,50.1,21.6,29.7,20,19.3,45.2,30.5,70,49.8,47.2,38.4,37.2,12.9,6.9,53.6,43.9,34.6,34.2,71.759523560289,77.98609381486095,80.43199999999999,2.38134238913304,2024,0,0,38.255959999999995,,69.8,71.4,1.141,1.024,17.673333333333
Maryland,108.42539674615,96.041189916378,0.80135419245604,4–3,4,7,46.8,45,46.6,32.2,18.6,22.8,34.9,31.1,68.2,54.5,44.6,23.8,30.9,11.6,9.8,46.4,42.7,40.5,25.4,67.995494622608,77.88741455568959,80.46350000000001,1.8699739947989595,2024,0,0,69.68224,,67.9,77.2,1.037,0.92,14.988985714286
Michigan,113.47773244119,100.55199740242,0.80070619511341,4–3,4,7,57.1,50.2,29.3,25.6,17.7,17.5,35.3,31.3,71,57.6,46.9,37.5,37.2,9.7,10.7,48.6,45,39.1,37.2,68.591217826159,77.92339716902583,81.39500000000001,2.1026821457165723,2024,0,0,78.86871999999998,,65.1,72.6,1.153,1.057,22.852585714286
Cincinnati,110.94015489803,98.413520250293,0.7986448719806,6–0,6,6,54.3,47,29.4,26.8,12.4,18.4,35.4,19.3,70.2,55.5,49.3,35,28.3,7.5,10.1,53.2,45.2,40.2,34.6,69.669431633243,77.8042944785276,81.4,2.0108021604320863,2024,0,0,48.409920000000014,,68.4,72,1.194,0.916,7.1334166666667
Rutgers,104.08594591686,92.376917156012,0.79776892678191,5–1,5,6,47.2,40.7,44.7,28.9,16.4,25.5,32.6,30.9,68,49.5,37.7,28.7,30.1,16.6,8.2,55.6,41.7,35.7,40.1,67.837116587776,77.4945432497979,81.26050000000001,1.8301019388366986,2024,0,0,51.07712000000001,,65.4,65.6,1.036,0.816,6.73
Duquesne,114.28361084173,101.76999878646,0.79144043393999,5–2,5,7,53.4,47.8,30,32.8,16,17.9,33.3,30.2,68.7,52.1,44.2,36.7,35.9,15.5,8.9,51.6,50.3,44.3,37.2,68.86822108583,76.14536234946122,79.8375,2.1314525810324136,2024,0,0,0.19992000000000282,,70.9,72.6,1.13,1.021,16.334714285714
Indiana,110.20443955672,98.179746600122,0.79062190919015,5–1,5,6,54,48.5,52.6,28.7,17.2,18,23.9,31.5,69.6,60.2,44.9,24.1,35.2,15.2,4.8,57.6,57.8,25.5,45.5,69.607247738175,79.06471061093247,82.115,1.5624875024995002,2024,0,0,77.14923999999999,,70.6,71.2,1.078,1.021,15.785683333333
