school_name,g,wins,losses,win_loss_pct,srs,sos,wins_home,losses_home,wins_visitor,losses_visitor,pts,opp_pts,pace,off_rtg,fta_per_fga_pct,fg3a_per_fga_pct,ts_pct,trb_pct,ast_pct,stl_pct,blk_pct,efg_pct,tov_pct,orb_pct,ft_rate
Eastern Michigan,8,5,3,.625,-12.21,-3.64,3,0,2,2,539,584,66.7,100.9,.312,.339,.542,49.1,43.2,7.7,6.0,.522,16.9,26.2,.201
Eastern Washington,7,1,6,.143,-8.91,11.26,1,0,0,6,520,590,73.9,100.6,.294,.478,.554,46.7,68.3,7.7,4.3,.532,17.3,21.4,.199
Elon,8,5,3,.625,-11.11,-9.11,3,0,0,3,673,616,71.9,117.0,.348,.406,.595,52.9,50.0,9.0,8.4,.566,14.9,33.6,.256
Evansville,8,7,1,.875,2.78,-6.94,4,0,2,1,685,547,72.6,114.4,.341,.308,.585,53.9,51.4,11.5,12.5,.558,13.1,27.7,.244
Fairfield,7,1,6,.143,-11.96,-0.29,1,2,0,3,499,522,71.0,100.4,.208,.433,.513,47.2,50.3,11.3,8.4,.488,15.6,28.6,.151
Fairleigh Dickinson,10,5,5,.500,-16.77,-7.65,3,0,2,4,832,803,77.0,108.1,.379,.437,.556,48.7,57.7,12.1,5.5,.525,15.2,28.1,.262
Florida,7,4,3,.571,15.59,7.16,3,0,0,1,589,530,73.6,114.4,.420,.343,.554,55.0,54.8,10.7,12.1,.526,15.0,40.9,.278
Florida A&M,5,0,5,.000,-12.34,15.66,0,2,0,3,315,434,68.9,87.0,.207,.213,.443,44.3,47.6,10.5,9.1,.412,16.0,28.2,.148
Florida Atlantic,8,7,1,.875,23.84,7.09,3,1,0,0,671,537,69.2,121.3,.344,.388,.605,53.4,47.9,11.4,8.9,.582,13.3,32.6,.243
Florida Gulf Coast,8,2,6,.250,-6.06,1.09,1,1,1,2,552,593,66.4,104.0,.355,.422,.527,52.0,45.0,7.7,10.6,.491,16.0,33.5,.250
Florida International,10,3,7,.300,-6.08,-2.48,2,2,1,2,720,756,73.4,98.1,.295,.400,.524,44.9,54.1,18.0,9.8,.501,19.2,30.1,.192
Florida State,7,4,3,.571,10.45,5.16,2,1,0,2,552,515,73.7,105.1,.311,.363,.545,48.2,52.7,12.8,10.9,.522,15.5,28.6,.209
Fordham,7,4,3,.571,2.85,-4.44,3,1,0,0,508,457,72.9,97.9,.489,.405,.506,51.2,50.9,13.5,9.3,.474,18.1,33.6,.300
Fresno State,7,3,4,.429,-5.87,2.46,2,1,0,1,499,538,70.3,99.6,.310,.353,.552,51.6,48.9,10.2,4.9,.528,20.1,27.9,.211
Furman,8,4,4,.500,1.23,-0.49,3,0,1,2,658,630,75.2,109.3,.351,.458,.579,52.0,62.0,10.8,7.1,.552,17.0,28.9,.246
Gardner-Webb,9,4,5,.444,1.34,6.76,3,0,0,3,666,623,71.2,102.6,.364,.339,.504,52.3,47.3,8.5,7.4,.472,13.8,32.7,.238
George Mason,8,7,1,.875,8.52,-2.23,5,0,1,0,604,518,65.4,115.5,.354,.372,.580,54.9,47.9,8.4,10.6,.547,15.1,34.7,.260
George Washington,8,6,2,.750,8.15,1.03,4,0,0,1,660,603,75.2,106.5,.329,.389,.575,52.0,44.3,8.7,12.9,.534,16.2,23.1,.262
Georgetown,8,5,3,.625,-0.14,-6.27,5,2,0,1,632,583,69.0,112.9,.453,.430,.574,53.0,55.8,7.9,9.9,.543,17.0,36.8,.309
Georgia,8,5,3,.625,5.20,4.45,4,0,1,0,573,567,70.9,101.1,.426,.422,.518,47.8,46.8,8.3,7.3,.472,14.5,25.7,.302
Georgia Southern,8,0,8,.000,-17.88,-2.75,0,1,0,5,556,677,70.1,99.1,.282,.487,.528,44.2,38.9,9.3,8.4,.492,18.3,28.8,.213
Georgia State,7,3,4,.429,-0.42,0.44,1,1,2,3,543,549,71.2,107.1,.337,.341,.515,50.7,43.9,7.1,4.5,.468,12.2,33.0,.260
Georgia Tech,6,4,2,.667,5.41,5.58,4,1,0,1,436,437,71.1,102.1,.357,.389,.504,51.3,49.3,7.7,15.4,.469,14.6,34.5,.241
Gonzaga,7,6,1,.857,18.03,8.53,3,0,0,0,587,464,71.4,117.4,.271,.319,.573,58.2,45.8,9.8,7.6,.555,14.5,40.7,.183
Grambling,8,2,6,.250,-22.72,3.28,2,0,0,4,539,640,70.7,95.2,.306,.260,.501,47.9,40.9,11.1,6.6,.465,16.7,30.3,.217
Grand Canyon,7,6,1,.857,10.10,-1.90,4,0,1,0,562,478,71.0,113.1,.543,.324,.570,56.6,37.7,11.9,13.7,.518,16.3,39.7,.398
Green Bay,8,4,4,.500,-3.87,0.42,3,0,1,3,502,516,62.9,98.2,.257,.432,.543,53.1,52.4,5.9,7.0,.525,19.2,26.1,.167
Hampton,7,2,5,.286,-14.56,-2.39,1,1,0,2,539,549,75.1,102.5,.354,.398,.560,49.9,48.7,10.8,4.5,.525,18.7,28.5,.257
